ISBN,Book_Title,Book_Author,Year_Of_Publication,Publisher
340649763,Dancing at the Victory Cafe: A Novel with Recipes,Helene Wiggin,1995,Hodder &amp; Stoughton General Division
440236673,The Brethren,John Grisham,2000,Island
553295071,Sliver: A Novel,Ira Levin,1993,Bantam Books
316291161,The French Lieutenant's Woman (French Lieutenant's Woman),John Fowles,1998,Back Bay Books
449208397,If Life Is a Bowl of Cherries What Am I Doing in the Pits,Erma Bombeck,1990,Fawcett Books
1590171012,The Magic Pudding: Being the Adventures of Bunyip Bluegum and His Friends Bill Barnacle &amp; Sam Sawnoff (New York Review Children's Collection),Norman Lindsay,2004,New York Review Children's Collection
60505273,The Sewing Circles of Herat : A Personal Voyage Through Afghanistan,Christina Lamb,2004,Perennial
752999958,Jurassic Park/Congo,Crichton Michael,1997,Random House UK Ltd (A Division of Random House Group)
702229962,Setting Out on the Voyage: The World of an Incorrigible Adventurer,Nancy Creagh Phelan,1998,University of Queensland Pr (Australia)
679771476,The Law of Similars,CHRIS BOHJALIAN,2000,Vintage
684848597,People of the Lie,M. Scott Peck,1998,Touchstone
64405176,Walk Two Moons,Sharon Creech,1996,HarperTrophy
684821192,Ramses the Son of Light,Christian Jacq,0,Simon Schuster Trade
61056871,Independence Day,Dean Devlin,1996,HarperEntertainment
590988301,Pet-Rified!,Dean Marney,1997,Scholastic
883659654,The Company of Cats : 20 Contemporary Stories of Family Cats,Michael J. Rosen,2004,Galahad
440235162,The Smoke Jumper,Nicholas Evans,2002,Dell Publishing Company
330357808,Marilyn's almost terminal New York adventure,Justine Ettler,1996,Picador
425158616,Cause of Death,Patricia Daniels Cornwell,1997,Berkley Publishing Group
676974562,Atonement,Ian McEwan,2002,Random House
307001385,"Whispering Rabbit, The",Margaret Wise Brown,1992,Golden Books
595157939,The Mystery of the Poison Arrow Tree,Shel Arensen,2001,Authors Choice Press
702231088,Sally Marshall Is Not an Alien (Uqp Storybridge Series),Amanda McKay,1999,Intl Specialized Book Service Inc
140143599,Cantor's Dilemma,Carl Djerassi,1991,Penguin Books
62502182,The Alchemist: A Fable About Following Your Dream,Paulo Coelho,1995,HarperSanFrancisco
60175400,The Poisonwood Bible,Barbara Kingsolver,1999,HarperCollins
1573221775,My Dream of You,Nuala O'Faolain,2001,Riverhead Books
913367044,The Case for Christ : A Journalist's Personal Investigation of the Evidence for Jesus,Lee Strobel,1998,Zondervan Publishing House
1888698357,"The Mighty 'Mox: The 75th Anniversary History of the People, Stories, and Events That Made Kmox a Radio Giant",Sally Rains,2000,Diamond Communications
913367176,Stories for the Faithful Heart,various authors,2000,"Graham, Billy Evangelistic Association"
933121245,Book of African Names,Osuntoki,1990,Black Classic Press
312168144,The Climb: Tragic Ambitions on Everest,Anatoli Boukreev,1997,St Martins Pr
451528182,Sir Gawain and the Green Knight (Signet Classics (Paperback)),Burton Raffel,2001,Signet Book
671537458,Waiting to Exhale,Terry McMillan,1995,Pocket
786014741,Body Double,Don Lassiter,2002,Zebra Books
517573822,Jimmy Stewart and His Poems,Jimmy Stewart,1997,Random House Inc
877732906,A SOCIABLE GOD,KEN WILBER,1984,Shambhala
743437810,The Vanished Man : A Lincoln Rhyme Novel (Lincoln Rhyme Novels (Paperback)),Jeffery Deaver,2004,Pocket Books
385240406,Time Flies,Bill Cosby,1987,Bantam Dell Pub Group
60116188,My side: The autobiography of Ruth Gordon,Ruth Gordon,1976,Harper &amp; Row
394742591,The Habit of Being,Flannery O'Connor,1980,Random House Inc
517149257,The Ultimate Hitchhiker's Guide,Douglas Adams,1996,Random House Value Publishing
374517886,The Collected Stories of Isaac Bashevis Singer,Isaac Bashevis Singer,1983,Farrar Straus Giroux
850315336,Nothingmas Day,Adrian Mitchell,1986,Random House (Merchandising)
312964854,Hush Little Babies : The True Story Of A Mother Who Murdered Her Own Children (St. Martin's True Crime Library),Donald A. Davis,1997,St. Martin's Paperbacks
743222008,The Vanished Man : A Lincoln Rhyme Novel,Jeffery Deaver,2003,Simon &amp; Schuster
684863324,GARDENS IN THE DUNES: A Novel,Leslie Marmon Silko,2000,Simon &amp; Schuster
618127453,Sparks of Genius: The Thirteen Thinking Tools of the World's Most Creative People,Robert S. Root-Bernstein,2001,Mariner Books
884053660,The world of Pelé,Joe Marcus,1976,Mason/Charter
812590236,Irish Mist: A Nuala Anne McGrail Novel (Nuala Anne McGrail Novels (Paperback)),Andrew M. Greeley,2000,Forge
515127221,Sullivan's Island: A Lowcountry Tale,Dorothea Benton Frank,2000,Jove Books
425161242,Chromosome 6,Robin Cook,2000,Berkley Publishing Group
451200993,Sleeping Murder (Miss Marple Mysteries (Paperback)),Agatha Christie,2000,New American Library
679765123,Incidents in the Rue Laugier (Vintage Contemporaries),Anita Brookner,1997,Vintage Books USA
312982194,Gettin' Merry,Beverly Jenkins,2002,St. Martin's Paperbacks
451195922,Skull Session,Daniel Hecht,1998,Signet Book
425169863,Point of Origin,Patricia Daniels Cornwell,1999,Berkley Publishing Group
345380371,Rising Sun,MICHAEL CRICHTON,1992,Ballantine Books
446609323,Black Friday,James Patterson,1989,Warner Vision
316690619,Cradle and All,James Patterson,2000,Little Brown and Company
446610038,1st to Die: A Novel,James Patterson,2002,Warner Vision
891074759,"Arthur (The Pendragon Cycle, Book 3)",Stephen R. Lawhead,1989,Good News Pub
449222276,Belgrave Square,Anne Perry,1993,Fawcett Books
440224608,Siberian Light,Robin A. White,1998,Dell Publishing Company
451201558,Cold Case,Stephen White,2001,Signet Book
61032077,To Cut a Long Story Short,Jeffrey Archer,2001,HarperTorch
2253004243,Une Vie,Guy De Maupassant,0,Livre De Poche French
679459626,Flesh and Blood,Jonathan Kellerman,2001,Random House
812566629,Darwinia,Robert Charles Wilson,1999,Tor Books
816614024,A Thousand Plateaus: Capitalism and Schizophrenia,Gilles Deleuze,1987,University of Minnesota Press
3518390473,Der Wettermacher.,Peter Weber,1999,Suhrkamp
3596113350,Die Mambo Kings spielen Songs der Liebe. Roman.,Oscar Hijuelos,1992,"Fischer (Tb.), Frankfurt"
3453189442,Das verbotene Lied.,Taiping Shangdi,2001,Heyne
3462031252,Quadrupelfuge.,Harald Schmidt,2002,Kiepenheuer &amp; Witsch
671001701,Legend,Jude Deveraux,1997,Pocket
782125557,Mastering Linux Premium Edition,Arman Danesh,1999,Sybex Inc
1555217532,The Complete Hot &amp; Spicy Cookbook,Emma Callery,1991,Book Sales
843943769,Avatar,Donald Beman,1998,Leisure Books
553583085,Kissed by Shadows (Get Connected Romances),Jane Feather,2003,Bantam Books
1892051001,"Guinness 2000 Book of Records: Millennium Edition (Guinness Book of Records, 2000)",Guinness Media Inc.,1999,Guinness Records
805019375,L Is for Lawless (Kinsey Millhone Mysteries),Sue Grafton,1995,Henry Holt &amp; Company
1587991039,Technomanifestos: Visions from the Information Revolutionaries,Adam Brate,2002,Thomson Texere
1587214768,The Wicked Priest: An Allegory in Two Acts,Bob Levis,2000,1stBooks Library
802130496,Doctor Sax: Faust Part Three,Jack Kerouac,1988,Grove Press
1857931467,Dorien's Diary: My Intimate Confessions,Maurice Gran,1993,Chrysalis Books
380717085,Fg on Our Immigrant Ance,J Smith,1992,Avon
380712172,Fg Cooks 3 Ancient Cuis,J Smith,1991,Avon
380706725,Fg Cooks American,J Smith,1990,Avon
767904281,The Gift of Motherhood : 10 Truths for Every Mother,CHERIE CARTER-SCOTT,2002,Broadway
1558747478,"Chicken Soup for the Parent's Soul : 101 Stories of Loving, Learning and Parenting (Chicken Soup for the Soul (Paper))",Mark Victor Hansen,2000,Health Communications
440512158,"CHILD IS BORN, A",LENNART NILSSON,1986,Dell
130179620,Business in Action,Courtland L. Bovee,2001,Prentice Hall
273649949,"Stimulus Factor, The",David Freemantle,2000,Financial Times/Prentice Hall
72453907,Leading Corporate Citizens,Sandra  Waddock,2001,McGraw-Hill/Irwin
130305065,Managing Technology and Innovation for Competitive Advantage,V.K. Narayanan,2000,Pearson Education
130219193,Strategic Renewal: Becoming a High-Performance Organization,Michael Mische,2000,Prentice Hall
28626958,The Unofficial Guide to Having a Baby,Ann Douglas,1999,John Wiley &amp; Sons
1884822738,"Big Little Book of Irish Wit &amp; Wisdom: Six Volumes in One : Irish Blessings, Irish Toasts, Irish Proverbs, Irish Riddles, Irish Laws, Irish Wisdom",Fergus Kelly,1997,Black Dog &amp; Leventhal Publishers
140272941,Cider with Rosie,Laurie Lee,1998,Penguin Books Ltd
375700382,The Fight: Norman Mailer,Norman Mailer,1997,Vintage Books USA
6550789,253,Geoff Ryman,0,Flamingo
140004424,Brighton Rock,Graham Greene,1970,Penguin Books Ltd
812517032,Irene's Last Waltz,Carole Nelson Douglas,1994,Tor Books (Mm)
385492081,Into Thin Air : A Personal Account of the Mt. Everest Disaster,JON KRAKAUER,1998,Anchor
451524829,The Phantom of the Opera (Signet Classics (Paperback)),Gaston Leroux,1990,Signet Classics
877287384,The Japanese Cult of Tranquillity,Karlfried Durckheim,1992,Weiser Books
465090974,The Way We Never Were: American Families and the Nostalgia Trap,Stephanie Coontz,2000,Basic Books
1931412677,Feel Good Naked,Laure Redmond,2001,Fair Winds Press
670848549,Secret History,Donna Tartt,0,Penguin Putnam~childrens Hc
684829746,CRUDDY : An Illustrated Novel,Lynda Barry,1999,Simon &amp; Schuster
425130215,Hocus Pocus,Kurt Vonnegut,1991,Berkley Publishing Group
8420444782,Un Milagro Informal,Fernando Iwasaki Cauti,2003,"Alfaguara Ediciones, S.A. (Spain)"
8489618844,Sangre a Borbotones (Coleccion Nueva Biblioteca),Rafael Reig,2002,Ediciones Lengua de Trapo
61000175,Skinwalkers (Joe Leaphorn/Jim Chee Novels),Tony Hillerman,1990,HarperTorch
312971362,Sis Boom Bah,Jane Heller,2000,St. Martin's Press
61097659,Switcheroo : A Novel,Olivia Goldsmith,1999,HarperTorch
1558532161,Life's Little Instruction Book; Volume II,H. Jackson Brown,1993,Thomas Nelson Inc
3125918103,"Les fantomes, ca n' existe pas. (Lernmaterialien)",Laurent Jouvet,1996,Klett
64408329,The Hanged Man,Francesca Lia Block,1999,HarperTrophy
743457358,Everything's Eventual : 14 Dark Tales,Stephen King,2002,Pocket
743456866,He Sees You When You're Sleeping : A Novel,Carol Higgins Clark,2002,Pocket
440235464,Lost Girls,Andrew Pyper,2001,Dell Publishing Company
312251890,Dr. Atkins' Age-Defying Diet Revolution,Robert Atkins,1999,St Martins Pr
440227739,Peeling the Onion (Laurel Leaf Books),Wendy Orr,1999,Laurel-Leaf Books
345425707,A Cup of Tea (Ballantine Reader's Circle),Amy Ephron,1998,Ballantine Books
765342294,Ender's Game (Ender Wiggins Saga (Paperback)),Orson Scott Card,2002,Starscape Books
451821971,Leaving Home,Garrison Keillor,1988,New Amer Library
670894494,The Passion of Artemisia,Susan Vreeland,2002,Viking Books
60394447,Tommy's Tale: A Novel,Alan Cumming,2002,Regan Books
385508980,The Mad Dog 100 : The Greatest Sports Arguments of All Time,Christopher Russo,2003,Doubleday
385491328,The Anatomist,Federico Andahazi,1998,Bantam Dell Pub Group
345434692,The Skies of Pern,Anne McCaffrey,2002,Del Rey Books
553131893,Dragondrums,Anne McCaffrey,1980,Bantam Books
374177023,Instances of the Number 3,Salley Vickers,2002,"Farrar, Straus and Giroux"
452280907,Fortune Is a River : Leonardo Da Vinci and Niccolo Machiavelli's Magnificent Dream to Change the Course of Florentine History,Roger D. Masters,1999,Plume Books
425167313,Here on Earth,Alice Hoffman,1998,Berkley Publishing Group
316314641,Rhoda : A Life in Stories Tag: Winner of the National Book Award for Fiction,Ellen Gilchrist,1995,Back Bay Books
61073091,"Resist or Serve (The Official Guide to the X-Files, Vol. 4)",Andy Meisler,1999,Perennial Currents
786808772,Summerland,Michael Chabon,2002,Miramax Kids
553234609,Dragonsong,Anne McCaffrey,1977,Bantam Books
553258540,Dragonsinger (Harper Hall Trilogy),Anne McCaffrey,1989,Bantam Books
802713661,Brunelleschi's Dome: How a Renaissance Genius Reinvented Architecture,Ross King,2000,Penguin Books
440237688,The Giver (Readers Circle),LOIS LOWRY,2002,Laurel Leaf
679884394,D. W.'S Color Book,MARC BROWN,1997,Random House Books for Young Readers
1582970262,The Writers Complete Fantasy Reference: An Indispensable Compendium of Myth and Magic,Writer's Digest Books,2000,Writer's Digest Books
1566091446,Photoshop 3 for Macintosh (Visual Quickstart Guide),Elaine Weinmann,1995,Peachpit Press
553577395,Starfire (Bantam Spectra),Charles Sheffield,2000,Spectra Books
671698419,BORDERS OF INFINITY,Lois McMaster Bujold,1989,Baen
425167720,An Instance of the Fingerpost,Iain Pears,1999,Berkley Publishing Group
609610597,"The Shelters of Stone (Earth's Children Series, No 5)",JEAN M. AUEL,2002,Crown
446519960,Absolute Power,David Baldacci,1996,Warner Books
374281602,Reversible Errors: A Novel,Scott Turow,2002,Farrar Straus Giroux
140251839,Finding the Right Place at the Right Time; Everything You Need to Know About Retirement Housing,Joan Cleveland,1996,Penguin Books
399519831,Inside Corporate America: A Guide for African Americans,"Wilson, III Simmons",1996,Perigee Books
425159795,California Rush: A Novel,Sherwood Kiraly,1997,Berkley Publishing Group
140255370,A Boy Named Phyllis: A Suburban Memoir,Frank Decaro,1997,Penguin Books
394543971,The Icarus Agenda,Robert Ludlum,1988,Random House Value Pub
60970790,The Man Who Mistook His Wife for a Hat: And Other Clinical Tales,Oliver Sacks,1987,Harpercollins
156787334,A Room of One's Own,Virginia Woolf,1989,Harcourt
448095300,The Clue of the Velvet Mask (Nancy Drew (Hardcover)),Carolyn Keene,1953,Grosset &amp; Dunlap
1569314195,Pokemon Tales : Where's Clefairy's Voice? (Pokemon Tales),Junko Wada,1999,VIZ LLC
60908548,Inanna,Diane Wolkstein,1983,Perennial
28606353,Frommer's 96 Frugal Traveler's Guides: Europe from $50 a Day (Serial),Alice Garrard,1995,John Wiley &amp; Sons
316182540,White Oleander : A Novel,Janet Fitch,2001,"Little, Brown"
553343874,Emmanuel's Book: A Manual for Living Comfortably in the Cosmos,Pat Rodegast,1987,Bantam
881845906,The Mammoth Book of Ghost Stories,Richard Dalby,1990,Pub Group West
446355224,Midnight Blue,Dorothy Garlock,1989,Warner Books
61030953,Wild Thorn,William Hoffman,2003,Avon Books
316919896,A Supposedly Fun Thing I'll Never Do Again : Essays and Arguments Tag: Author of Infinite Jest,David Foster Wallace,1997,"Little, Brown"
553299506,Private Eyes (Alex Delaware Novels (Paperback)),Jonathan Kellerman,1992,Bantam Books
446611611,City of Bones,Michael Connelly,2003,Warner Books
446604658,Lucky You,Carl Hiaasen,1998,Warner Vision
553282476,CAT'S EYE,MARGARET ATWOOD,1989,Bantam
449212602,The Handmaid's Tale,Margaret Atwood,1989,Fawcett Books
684867621,The Girl Who Loved Tom Gordon : A Novel,Stephen King,1999,Scribner
451147375,Blood Test,Jonathan Kellerman,1987,Signet Book
345413903,The Murder Book,Jonathan Kellerman,2003,Ballantine Books
451178033,When the Bough Breaks,Jonathan Kellerman,1993,Signet Book
590634275,Captain Underpants and the Attack of the Talking Toilets: Another Epic Novel (Captain Underpants (Paper)),Dav Pilkey,1999,Scholastic
330294377,Falling Towards England,Clive James,0,Pan Books Ltd
61031569,Absolute Zero,Chuck Logan,2003,HarperTorch
3257228007,Das Parfum: Die Geschichte Eines Morders,Patrick Suskind,1994,Distribooks Inc
553582143,Body of Lies,IRIS JOHANSEN,2003,Bantam
743202961,"Every Breath You Take : A True Story of Obsession, Revenge, and Murder",Ann Rule,2001,Free Press
60002492,Amazonia,James Rollins,2003,Avon Books
399148620,Acid Row,Minette Walters,2002,Putnam Publishing Group
786866462,A Density of Souls,Christopher Rice,2000,Miramax
679426159,Standing in the Rainbow : A Novel,FANNIE FLAGG,2002,Random House
671020315,Raven (Orphans),V.C. Andrews,1998,Pocket
316569321,White Oleander : A Novel,Janet Fitch,1999,"Little, Brown"
679732241,The Sound and the Fury (Vintage International),WILLIAM FAULKNER,1991,Vintage
451117670,Manitous Daughter Indian Heritage 1,Joseph Lederer,0,Penguin Putnam~mass
451402251,Born of the Sun,Joan Wolf,1991,New Amer Library
1558175326,The White Puma,R.D. Lawrence,1991,Pinnacle Books
449214982,Trust Me,John Updike,1990,Fawcett Books
515090174,The Cat Who Could Read Backwards,Lilian Jackson Braun,1994,Jove Books
515095826,The Cat Who Knew Shakespeare,Lilian Jackson Braun,1988,Jove Books
515111279,The Cat Who Wasn't There,Lilian Jackson Braun,1994,Jove Books
671555235,A Caribbean Mystery,Agatha Christie,1984,Pocket
1570719586,God-Shaped Hole,Tiffanie DeBartolo,2002,Sourcebooks Landmark
3492232981,Afrikanisches Fieber. Erfahrungen aus vierzig Jahren.,Ryszard Kapuscinski,2001,Piper
553580876,Sympathy for the Devil,Kent Anderson,2000,Bantam Books
385475713,Alias Grace,Margaret Atwood,1996,Nan A. Talese
345290232,Third Eye,Rampa Lobsang,1980,Not Avail
345441753,Criminal Intent,WILLIAM BERNHARDT,2003,Fawcett
425045250,Exiles Trilogy From Earth,Ben Bova,1980,Penguin Putnam~mass
689825234,HABIBI,Naomi Shihab Nye,1999,Simon Pulse
553375407,Ishmael: An Adventure of the Mind and Spirit,Daniel Quinn,1995,Bantam
1863714081,Edge of the sacred: Transformation in Australia,David J Tacey,1995,HarperCollinsPublishers
151006903,Baudolino,Umberto Eco,2002,Harcourt
1931561281,The Australia Stories: A Novel,Todd James Pierce,2003,MacAdam/Cage Publishing
679744479,Written on the Body,Jeanette Winterson,1994,Vintage Books USA
8401466350,Cinco días en París,Danielle Steel,1996,"Plaza &amp; Janes Editores, S.A."
1562477676,Molly Takes Flight (American Girls Short Stories),Valerie Tripp,1999,Pleasant Company Publications
789414708,Pregnancy and Birth: Your Questions Answered,Christof Lees,2002,Dorling Kindersley
425115801,Lightning,Dean R. Koontz,1996,Berkley Publishing Group
345454073,The Homing,John Saul,2002,Ballantine Books
312983654,The Wire in the Blood (A Dr. Tony Hill &amp; Carol Jordan Mystery),Val McDermid,2002,St. Martin's Minotaur
671024248,Hearts In Atlantis,Stephen King,2000,Pocket
553582933,Winter Moon,Dean R. Koontz,2001,Bantam Books
671034022,Mercy,Julie Garwood,2002,Pocket
440208149,An Acceptable Time,Madeleine L'Engle,1990,Laure Leaf
451151259,Eyes of the Dragon,Stephen King,1988,Penguin Putnam~mass
375727132,The Dive From Clausen's Pier : A Novel (Vintage Contemporaries (Paperback)),ANN PACKER,2003,Vintage
446607711,The Simple Truth,David Baldacci,1999,Warner Books
765301954,Fitcher's Brides (Fairy Tales),Gregory Frost,2003,Tor Books
445085614,The Emigrants,Vilhelm Moberg,1951,Warner Books> C/o Little Br
345416880,Enchantment,Orson Scott Card,2000,Del Rey Books
312874006,Angel of Darkness (Key Books),Charles de Lint,2002,Orb Books
28621239,The Complete Idiot's Guide to Knitting &amp; Crocheting,Gail Diven,1999,Alpha Books
1593080743,The Age of Innocence,Edith Wharton,2004,Barnes &amp; Noble Books-Imports
380771292,"Black Thorn, White Rose",Ellen Datlow,1995,Eos
805051589,All the Way to Heaven: An American Boyhood in the Himalayas,Stephen Alter,1998,Henry Holt &amp; Company
312314256,Year's Best Fantasy and Horror: Sixteenth Edition,Terri Windling,2003,St. Martin's Griffin
445202718,Gloriana,Michael Moorcock,1986,Warner Books
316136778,Love and Longing in Bombay : Stories,Vikram Chandra,1998,Back Bay Books
385483503,Arranged Marriage: Stories,Chitra Banerjee Divakaruni,1996,Anchor
590486101,Black Beauty (Apple Classics),Anna Sewell,1994,Scholastic Paperbacks
60187271,The Last Report on the Miracles at Little No Horse,Louise Erdrich,2001,HarperCollins Publishers
385497288,The Unknown Errors of Our Lives: Stories,Chitra Banerjee Divakaruni,2002,Anchor Books/Doubleday
345386256,A Guide to the Star Wars Universe,Bill Slavicsek,1994,Del Rey Books
879517980,"The Book of the Dead (The Paradys Series , Vol 3)",Tanith Lee,1997,Overlook Press
131554255,Calliope's Sisters: A Comparative Study of Philosophies of Art,Richard L. Anderson,1989,Pearson Education
679725164,No Exit and Three Other Plays (Vintage International),Jean Paul Sartre,1989,Vintage Books USA
312278675,Steppenwolf: A Novel,Hermann Hesse,2002,Picador
60512806,Cryptonomicon,Neal Stephenson,2002,Avon Books
60901012,Brave New World &amp; Brave New World Revisited,Aldous Huxley,1942,Perennial
60930071,The Antelope Wife : A Novel,Louise Erdrich,1999,Perennial
60972459,Tracks RI,Louise Erdrich,2004,Perennial
805012478,Steppenwolf,Hermann Hesse,1990,Henry Holt &amp; Company
60975547,Love Medicine,Louise Erdrich,1993,Perennial
375704000,Freedom Song: Three Novels,Amit Chaudhuri,2000,Vintage Books USA
609806505,"Guenevere, Queen of the Summer Country (Guenevere Novels (Paperback))",ROSALIND MILES,2000,Three Rivers Press
965624773,Finding Laura Buggs,Stanley Gordon West,1999,Lexington-Marshall Pub.
60977507,The Beet Queen : A Novel,Louise Erdrich,1998,Perennial
812505166,Wuthering Heights,Emily Bronte,1989,Tor Classics
440234824,The Sibyl in Her Grave,Sarah Caudwell,2001,Dell Publishing Company
393312801,The Acid House,Irvine Welsh,1995,W. W. Norton &amp; Company
446525804,Last Man Standing,David Baldacci,2001,Warner Books
446516570,Up Country: A Novel,Nelson DeMille,2002,Warner Books
312868308,Flesh and Gold,Phyllis Gotlieb,1999,Tor Books
380752298,The White Raven,Dianna L. Paxson,1989,Harper Mass Market Paperbacks (Mm)
345434773,Evensong (Ballantine Reader's Circle),Gail Godwin,2000,Ballantine Books
786005998,Dare to Dream,Wynema McGowan,1998,Pinnacle Books
385254520,Keeper n' Me,RICHARD WAGAMESE,1994,Anchor Canada
60170441,"Eat Smart, Think Smart: How to Use Nutrients and Supplements to Achieve Maximum Mental and Physical Performance",Robert Haas,1994,Harpercollins
590431536,The Girl in the Window,Wilma Yeo,1995,Scholastic Paperbacks (Mm)
712646221,Negaholics,Scott,1991,Not Avail
749318368,Suddenly,Barbara Delinsky,1995,Mandarin
515122491,The Maze,Catherine Coulter,1998,Jove Books
812530314,The Grey Beginning,Barbara Michaels,1992,Tor Books
552138223,The Cat Who Came in from the Cold,Deric Longden,1992,"Acacia Press, Inc."
515131091,Out of This World,J. D. Robb,2001,Jove Books
380791382,Out of Time : A Casey Jones Mystery (Casey Jones Mysteries),Katy Munger,1998,Avon
91880955,The Luberon Garden,Alex Dingwall-Main,2002,Ebury Press
563537329,The Mind Map Book: Millennium Edition,Tony Buzan,2000,BBC Consumer Publishing
8401427177,"Vieja Sirena, La",Jose Luis Sampedro,1998,"Plaza &amp; Janes Editores, S.A."
8435015521,Justine - El Cuarteto de Alejandria I,Lawrence Durrell,1999,Edhasa
140265686,Out to Canaan (The Mitford Years),Jan Karon,1998,Viking Books
140257934,"These High, Green Hills (The Mitford Years)",Jan Karon,1997,Viking Books
140254544,A Light in the Window (The Mitford Years),Jan Karon,1996,Penguin Books
446603708,Clay's Ark,Octavia E. Butler,1996,Warner Books
446606723,Wild Seed,Octavia E. Butler,1999,Aspect
451524934,1984,George Orwell,1990,Signet Book
679721819,Mama Day (Vintage Contemporaries),Gloria Naylor,1989,Vintage Books USA
345392825,Reviving Ophelia: Saving the Selves of Adolescent Girls (Ballantine Reader's Circle),Mary Pipher,1995,Ballantine Books
60182792,Anam Cara : A Book of Celtic Wisdom,John O'Donohue,1997,HarperCollins
393038440,God's Chinese Son: The Taiping Heavenly Kingdom of Hong Xiuquan,Jonathan D. Spence,1996,W. W. Norton &amp; Company
737020121,"Cooking for Yourself (Williams-Sonoma Lifestyles , Vol 12, No 20)",Janet Kessel Fletcher,1999,Time-Life Books
679745645,"Other Voices, Other Rooms (Vintage International)",Truman Capote,1994,Vintage Books USA
1569470901,Rebuilding Coventry: A Tale of Two Cities,Sue Townsend,1997,Soho Press
671027123,All Through the Night (Holiday Classics),Mary Higgins Clark,1999,Pocket
375412972,Yeats Is Dead! A Mystery by 15 Irish Writers,Roddy Doyle,2001,Alfred A. Knopf
449225151,A Place Called Freedom,Ken Follett,1996,Fawcett Books
590449737,Body Battles,Rita Golden Gelman,1992,Scholastic
892816562,The Complete I Ching: The Definitive Translation by the Taoist Master Alfred Huang,Alfred Huang,1998,Inner Traditions International
8440691475,El Poder Curativo de La Mente,Tulku Thondup Rinpoche,2000,Ediciones B
8466307982,La joven de la perla,Tracy Chevalier,2002,Santillana USA Publishing Company
765342405,Ender's Shadow,Orson Scott Card,2002,Starscape Books
8420441732,Ventajas de viajar en tren,Antonio Orejudo,2000,Alfaguara
345350499,The Mists of Avalon,MARION ZIMMER BRADLEY,1987,Del Rey
689837070,Tithe,Holly Black,2003,Simon &amp; Schuster (Trade Division)
671041177,Immortal: Buffy the Vampire Slayer (Buffy The Vampire Slayer),Christopher Golden,1999,Simon Spotlight Entertainment
8466300708,Manana En La Batalla Piensa En Mi - Bolsillo,Javier Marias,2001,Suma de Letras
312976275,Hot Six : A Stephanie Plum Novel (A Stephanie Plum Novel),Janet Evanovich,2001,St. Martin's Paperbacks
767905180,Jemima J: A Novel About Ugly Ducklings and Swans,Jane Green,2001,Broadway Books
743482891,Now You See Her,Linda Howard,2003,Pocket Books
1551666200,Sarah'S Child - Hardcover,Linda Howard,2000,Mira
373242328,"The Perfect Neighbor (The Macgregors) (The Macgregors : Special Edition Series, No 1232)",Nora Roberts,1999,Silhouette
373709102,"That Cowboy'S Kids (Home On The Ranch) (Harlequin Superromance, No. 910)",Debra Salonen,2000,Harlequin
517077744,Sandra Brown: Three Complete Novels,SANDRA BROWN,1992,Wings
449210197,Crows,Charles Dickinson,1986,Fawcett Books
373709617,"Coming Home To You (Harlequin Super Romance, No 961)",Fay Robinson,2001,Harlequin
373510225,"Sullivan'S Woman #22 (Nora Roberts : Language of Love, on 22)",Nora Roberts,1992,Silhouette
373301529,"Mustang Man (Western Lovers, 4)",Lee Magner,1998,Harlequin
373273193,Racing Against Time : Cavanaugh Justice (Intimate Moments),Marie Ferrarella,2003,Silhouette
373301626,His and Hers: Ranchin' Dads (Harlequin - Western Lovers),Pamela Bauer,1987,Harlequin
373271867,"That Kind Of Girl (Silhouette Intimate Moments, No. 1116)",Kim Mckade,2001,Silhouette
373240228,"Fall Of Shane Mackade (The Mackade Brothers) (Silhouette Special Edition, No 1022)",Nora Roberts,1996,Silhouette
373764146,"Tycoon'S Temptation (Silhouette Desire, No. 1414)",Katherine Garbera,2002,Silhouette
446529788,A Kiss Remembered: A Classic Love Story,Sandra Brown,2002,Warner Books
743246918,Silent Night/All Through the Night : Two Christmas Novels,Mary Higgins Clark,2002,Simon &amp; Schuster
373301847,Return to Yesterday (Western Lovers Reunited Hearts),Annette Broadrick,1987,Harlequin Books SA
373708351,"Doctor'S Daughter  (Men Of Glory) (Harlequin Superromance, 835)",Judith Bowen,1999,Harlequin
1551664690,Dimedici Bride,Heather Graham Pozzessere,1999,Mira
789491869,"Washington, D.C. (Eyewitness Top 10 Travel Guides)",Ron Burke,2003,Dorling Kindersley Publishing
373835426,Witchcraft,Jayne Ann Krentz,2003,Harlequin
373691157,Hot Off the Press,Nancy Warren,2003,Harlequin
373301537,Painted Sunsets (Western Lovers Ranch Rogues),Rebecca Flanders,1987,Harlequin Enterprises Limited
373258674,"Valentine Fantasy (Fantasy For Hire) (Harlequin Temptation, No. 767)",Jamie Denton,2000,Harlequin
312968256,Lady's Man,Suzanne Simmons,1999,St. Martin's Press
451205650,The Fortune Hunter (Signet Regency Romance),Diane Farr,2002,Signet Book
316089699,Sea Glass: A Novel,Anita Shreve,2003,Back Bay Books
1551669404,Just Over The Mountain,Robyn Carr,2002,Mira
373708319,"Man I Used To Know  (Love That Man) (Harlequin Superromance, 831)",Margot Dalton,1999,Harlequin
373706545,"Done Driftin' (The Dunleavy Legacy) (Harlequin Superromance, No 654)",Janis Flores,1995,Harlequin
373871945,Mountain Laurel (Love Inspired (Numbered)),Kate Welsh,2002,Steeple Hill
